0023,hash-sign
002A,asterisk
0030,digit-zero
0039,digit-nine
00A9,copyright
00AE,registered
203C,double-exclamation-mark
2049,exclamation-question-mark
2122,trade-mark
2139,information
2194,left-right-arrow
2199,down-left-arrow
21A9,right-arrow-curving-left
21AA,left-arrow-curving-right
231A,watch
231B,hourglass-done
2328,keyboard
23CF,eject-button
23E9,fast-forward-button
23EC,fast-down-button
23ED,next-track-button
23EE,last-track-button
23EF,play-or-pause-button
23F0,alarm-clock
23F1,stopwatch
23F2,timer-clock
23F3,hourglass-not-done
23F8,pause-button
23FA,record-button
24C2,circled-M
25AA,black-small-square
25AB,white-small-square
25B6,play-button
25C0,reverse-button
25FB,white-medium-square
25FE,black-medium-small-square
2600,sun
2601,cloud
2602,umbrella
2603,snowman
2604,comet
260E,telephone
2611,check-box-with-check
2614,umbrella-with-rain-drops
2615,hot-beverage
2618,shamrock
261D,index-pointing-up
2620,skull-and-crossbones
2622,radioactive
2623,biohazard
2626,orthodox-cross
262A,star-and-crescent
262E,peace-symbol
262F,yin-yang
2638,wheel-of-dharma
2639,frowning-face
263A,smiling-face
2640,female-sign
2642,male-sign
2648,Aries
2653,Pisces
265F,chess-pawn
2660,spade-suit
2663,club-suit
2665,heart-suit
2666,diamond-suit
2668,hot-springs
267B,recycling-symbol
267E,infinity
267F,wheelchair-symbol
2692,hammer-and-pick
2693,anchor
2694,crossed-swords
2695,medical-symbol
2696,balance-scale
2697,alembic
2699,gear
269B,atom-symbol
269C,fleur-de-lis
26A0,warning
26A1,high-voltage
26A7,transgender-symbol
26AA,white-circle
26AB,black-circle
26B0,coffin
26B1,funeral-urn
26BD,soccer-ball
26BE,baseball
26C4,snowman-without-snow
26C5,sun-behind-cloud
26C8,cloud-with-lightning-and-rain
26CE,Ophiuchus
26CF,pick
26D1,rescue-worker’s-helmet
26D3,chains
26D4,no-entry
26E9,shinto-shrine
26EA,church
26F0,mountain
26F1,umbrella-on-ground
26F2,fountain
26F3,flag-in-hole
26F4,ferry
26F5,sailboat
26F7,skier
26F9,person-bouncing-ball
26FA,tent
26FD,fuel-pump
2702,scissors
2705,check-mark-button
